D,O,H,L,C,ST,T
7/28/23,44858.35,45187.95,44732.5,45166.4,325811485,9518.67
7/31/23,45156,45368.45,45151.7,45287,268489132,8654.37
8/1/23,45393.55,45408.55,45170.6,45263.25,216333604,7626.24
8/2/23,45219.6,45242.35,44316.55,44645.8,269879075,9191.43
8/3/23,44588.35,44621.1,44150.05,44414.55,506836209,14567.01
8/4/23,44637.1,44913.9,44627.8,44765,585219790,11329.17
8/7/23,44908,44930.95,44696.85,44838.45,426079983,9770.77
8/8/23,44953.9,44989.65,44547.75,44838.8,335444851,8656.31
8/9/23,44950.8,44983.05,44728.25,44948.15,245224312,7287.7
8/10/23,45009.5,45009.5,44578,44676.15,252511871,8056.02
8/11/23,44824.25,44862.5,44508,44566.7,225664110,8564.62
8/14/23,44460.55,44460.55,43600.1,44008.75,211211350,7668.47
8/16/23,43889.2,44045.05,43662.15,44009.75,202900641,8762.07
8/17/23,44075.6,44127.2,43838.05,43892.85,157129485,5704.87
8/18/23,43855.6,43883.1,43613.25,43681,179680199,7435.09
8/21/23,43756.35,44064.6,43691.05,44033.9,146142199,5649.57
8/22/23,44176.3,44359.7,44142.55,44324.5,246731905,7611.72
8/23/23,44466,44555.95,44316.25,44346,223432256,8247.95
8/24/23,44626.9,44730.45,44458.05,44504.6,202092241,7463.61
8/25/23,44431,44531.2,44008.8,44087.55,219119346,6383.68
8/28/23,44276.85,44400.5,44121.85,44326.45,258817798,6302.44
8/29/23,44460.6,44628.45,44405.05,44589.4,201175174,6664.26
8/30/23,44798.4,44905.85,44709.85,44743.25,365019177,7837.71
8/31/23,44785.65,44797.15,44375.3,44415.5,313469490,14241.01
9/1/23,44493.7,44836.7,44403.55,44799.75,249602232,8065.95
9/4/23,45026.45,45244.25,44799.75,45201,240173676,8320.9
9/5/23,45348.15,45433.7,45126.3,45294.1,232747528,7239.78
9/6/23,45382.6,45531.2,45287.5,45508.15,193368094,7986.72
9/7/23,45569.35,45794.9,45508.15,45739.35,269547076,8315.95
9/8/23,45893.35,46207.1,45853.25,46110.8,297860811,10257.15
9/11/23,46359.6,46637.15,46277.8,46585.7,298363817,10076.83
9/12/23,46796.6,46799,45430.6,45515.35,334920747,10439.14
9/13/23,45496.45,45735.75,45068.15,45655.45,244910228,7114.88
9/14/23,45861.65,46030.45,45743.95,45971.2,210317248,7196.61
9/15/23,46116.15,46146.5,45889.3,46051.85,372421086,10612.09
9/18/23,46296.05,46296.4,45979.7,46026.05,296030452,9123.44
9/20/23,45915.7,46058,45550.2,45620.65,280097354,8777
9/21/23,45586.85,45718.9,45125.95,45231.2,190693934,6703.26
9/22/23,45265.05,45506.85,45008.05,45176,227789765,8284.66
9/25/23,45248.55,45281.45,44876.4,45070.95,175502860,6349.55
9/26/23,45092.85,45285.05,45085.1,45158.9,162764988,6650.2
9/27/23,45173.5,45245,44896.75,45222.6,193203471,6816.16
9/28/23,45286.2,45311.85,44469.9,44548.8,249453361,9837.09
9/29/23,44739.55,45163.7,44672.65,45036.65,231563615,6619.72
10/3/23,45133.15,45213.5,44901.85,45186.75,322717039,8844.86
10/4/23,45068.7,45084.7,44337.75,44560.85,332011791,9374.52
10/5/23,44759.85,44862.95,44521.75,44669.65,397441912,8572.78
10/6/23,44886.4,44987.05,44780.2,44950.4,230503103,6445.86
10/9/23,44550.9,44605,44251.25,44407.1,232112845,5712.54
10/10/23,44596.7,45035.05,44581,45006.2,236002284,6834.68
10/11/23,45199.35,45382.35,45160.05,45237.05,311381310,7863.7
10/12/23,45368.75,45435.1,45285.15,45342,273062826,6287.25
10/13/23,45158.2,45403,45114.95,45290.3,226301444,6009.91
10/16/23,45271.6,45502.95,45202.4,45421.45,193525025,5725.36
10/17/23,45595.15,45652.65,45518.7,45586.75,196744794,5569.19
10/18/23,45625.95,45636.45,45011.1,45120.25,294590159,6985.69
10/19/23,44911.55,45065.8,44682.25,44974.5,178665524,5638.12
10/20/23,44883.85,44911.1,44464.85,44547.65,236635366,6611.03
10/23/23,44552.8,44604.15,43574.55,43684.75,265575016,6691.55
10/25/23,43762.45,44022.85,43144.15,43418.65,227009129,6614.25
10/26/23,43226.3,43228.4,42539.15,42994.5,363518453,8302.75
10/27/23,43257.75,43939.4,43252.5,43837.5,264324159,7788.85
10/30/23,43923.85,43982.85,43462.85,43906.6,195120751,5996.81
10/31/23,44133.9,44183.05,43890.95,44019.1,243453177,7750.21
11/1/23,44122.15,44216.25,43718.65,43783.15,254039390,6901.65
11/2/23,44114.75,44478.35,44086.3,44451.1,255810676,5988.1
11/3/23,44691.35,44907.9,44613.35,44885,412605267,8485.16
11/6/23,45061.8,45269.35,44985.35,45227.45,387682179,8691.28
11/7/23,45302.5,45641.15,45137.85,45593.3,383088186,9629.8
11/8/23,45798.85,45912.2,45695.65,45894.9,279327574,7740.5
11/9/23,45996.2,46011.25,45628.15,45660.4,208268256,6452.03
11/10/23,45568.65,45767.5,45378.5,45724.2,196494308,7018.31
11/12/23,46070.3,46090.1,45897.1,45942.95,40475360,1082.48
11/13/23,45898.2,46009.85,45739.65,45986.7,213102247,5281.9
11/15/23,46348.05,46478.55,46155.05,46425.55,272419486,7673.6
11/16/23,46486.45,46691.25,46330.25,46591.55,212805283,6388.16
11/17/23,46510.9,46870.75,46422.9,46838.25,271353389,8402.31
11/20/23,46943.55,46948.55,46640.45,46716.9,182039573,5564.56
11/21/23,46887.6,46935.15,46683.95,46718.25,177333661,5760.47
11/22/23,46768.75,46851.15,46367.85,46541.15,186315952,5174.89
11/23/23,46651.4,46781.4,46549.45,46675.55,161369813,5040.39
11/24/23,46762.8,46819,46578.1,46607.75,194504805,6677.14
11/28/23,46793.3,47216.25,46718.6,47161.95,358569701,12035.33
11/29/23,47471.95,47556.4,47414.2,47487.5,392428661,12755.32
11/30/23,47550.5,48082.95,47382.7,48020.4,623719961,18521.11
12/1/23,48373.1,48565.55,48197.45,48486.4,388261860,10615.01
12/4/23,49347.55,49473.1,49071.4,49424.8,518255116,14750.73
12/5/23,49568,49956.6,49405.7,49937.35,476945748,19165.24
12/6/23,50223.45,50621.8,50184.35,50517.35,476594418,22914.68
12/7/23,50753.2,50987.25,50544.35,50920.6,505265748,20024.76
12/8/23,51197.7,51289.55,50079,50608.75,400016045,15617.8
12/11/23,50770.1,51172.95,50696.85,51139.65,318726747,11508.42
12/12/23,51324.15,51352.45,50583.9,50813.2,267597643,11116.59
12/13/23,50984.65,51321.6,50687.45,51273.5,318417111,12896.37
12/14/23,51651.25,52004.7,51540.75,51925.45,352070759,13112.48
12/15/23,52191.6,52210.55,51836.25,51957.35,358452712,12825.59
12/18/23,52090,52369,51796.75,52301,336877671,13885.64
12/19/23,52481.85,52515.8,51917.7,52387.2,308333220,12719.06
12/20/23,52734.65,52823.4,50688,50844.6,393963257,15629.18
12/21/23,50385.35,51594.25,50102.95,51520.65,325113812,12486.81
12/22/23,51845.95,51999.5,51514.95,51944,332949161,11511.03
12/26/23,52201.05,52483.3,52113.2,52434.85,281167603,9076.3
12/27/23,52699.35,52875,52428.95,52680.2,263792535,9532.43
12/28/23,52906.75,53038.65,52734.8,52964.1,515341622,13662.5
12/29/23,53033.55,53388.9,52845.05,53344.8,366472016,10392.48
1/1/24,53551.6,53648.95,53297.9,53409.8,289388883,8298.12
1/2/24,53586.35,53604.4,52605.2,53277.5,310392600,9717.96
1/3/24,53408.35,53842.1,53225.2,53680.35,382533455,16489.75
1/4/24,53908.95,54434.2,53897.8,54359.95,299089963,11785.98
1/5/24,54582.05,54687.6,53949,54295.25,339192999,13463.46
1/8/24,54450,54450,53670,53728.9,286180407,10421.97
